Academic Year,Provider Name,Provider UKPRN,Cluster,Perspective,Perspective Id,Has Narrative,Narrative,Metric,Metric Score,Perspective Score,3 Year Perspective Average,3 Year Perspective Decile
2016,University 0,0000,E,Research Partnerships,1,False,,Contribution to collaborative research (Cash) as proportion of public funding,0.0,0.47046007956943414,0.3660431509990823,2.0
2016,University 0,0000,E,Research Partnerships,1,False,,Co-authorship with non-academic partners as a proportion of total outputs (data provider TBD),0.9409201591388683,0.47046007956943414,0.3660431509990823,2.0
2016,University 0,0000,E,Working with business,2,False,,Innovate UK income (KTP and grant) as proportion of research income (Innovate UK),0.4882071108762113,0.5569654532166837,0.5515119076373031,7.0
2016,University 0,0000,E,Working with business,2,False,,HE-BCI contract research income with non-SME business normalised by HEI income,0.09739656170738292,0.5569654532166837,0.5515119076373031,7.0
2016,University 0,0000,E,Working with business,2,False,,HE-BCI contract research income with SME business normalised by HEI income,0.8052865494150978,0.5569654532166837,0.5515119076373031,7.0
2016,University 0,0000,E,Working with business,2,False,,HE-BCI Consultancy and facilities income with non -SME business normalised by HEI income,0.529139558754499,0.5569654532166837,0.5515119076373031,7.0
2016,University 0,0000,E,Working with business,2,False,,HE-BCI Consultancy and facilities income with SME business normalised by HEI income,0.8647974853302274,0.5569654532166837,0.5515119076373031,7.0
2016,University 0,0000,E,Working with the public and third sector,3,False,,HE-BCI contract research income with the public and third sector normalised by HEI income,0.2753138774910475,0.6285130443572589,0.5225328002802615,6.0
2016,University 0,0000,E,Working with the public and third sector,3,False,,HE-BCI Consultancy and facilities income with the public and third sector normalised by HEI income,0.9817122112234702,0.6285130443572589,0.5225328002802615,6.0
2016,University 0,0000,E,"Skills, enterprise and entrepreneurship",4,False,,HE-BCI CPD/CE income normalised by HEI income,0.482205716963256,0.5730837065594422,0.5800514914791512,9.0
2016,University 0,0000,E,"Skills, enterprise and entrepreneurship",4,False,,HE-BCI CPD/CE learner days delivered normalised by HEI income,0.7976392162366979,0.5730837065594422,0.5800514914791512,9.0
2016,University 0,0000,E,"Skills, enterprise and entrepreneurship",4,False,,HE-BCI Graduate start-ups rate by student FTE,0.4394061864783726,0.5730837065594422,0.5800514914791512,9.0
2016,University 0,0000,E,Local growth and regeneration,5,True,"Each ask film radio rate you. Suffer federal lot next senior statement.
Analysis dark environmental more appear. Institution month create point religious everyone assume. Science themselves south instead suddenly some night color. Example vote dog carry.",Regeneration and development income from all sources normalised by HEI incomeAdditional narrative/contextual information - optional in year 1,0.27812223899700717,0.27812223899700717,0.4992564367610021,6.0
2016,University 0,0000,E,IP and Commercialisation,6,False,,Estimated current turnover of all active firms per active spinout,0.6546330638738442,0.3061396940300754,0.33803556914555943,1.0
2016,University 0,0000,E,IP and Commercialisation,6,False,,Average external investment per formal spinout,0.21200168224634489,0.3061396940300754,0.33803556914555943,1.0
2016,University 0,0000,E,IP and Commercialisation,6,False,,Licensing and other IP income as proportion of research income,0.05178433597003704,0.3061396940300754,0.33803556914555943,1.0
2016,University 0,0000,E,Public and community engagement,7,True,"Bank someone daughter process. Smile item character recognize.
Tree cold of thank. Whether sister spend at those. Myself before between thought.
Beat vote then doctor ground how. Explain bag investment.
Over surface thing dog tend two idea. Son age by.",Self assessment based metric - optional in year 1,0.684801105980061,0.684801105980061,0.34149217684868055,2.0
2017,University 0,0000,E,Research Partnerships,1,False,,Contribution to collaborative research (Cash) as proportion of public funding,0.7282909300972875,0.44845361615663576,0.3660431509990823,2.0
2017,University 0,0000,E,Research Partnerships,1,False,,Co-authorship with non-academic partners as a proportion of total outputs (data provider TBD),0.16861630221598403,0.44845361615663576,0.3660431509990823,2.0
2017,University 0,0000,E,Working with business,2,False,,Innovate UK income (KTP and grant) as proportion of research income (Innovate UK),0.11465031358921926,0.6200247405619115,0.5515119076373031,7.0
2017,University 0,0000,E,Working with business,2,False,,HE-BCI contract research income with non-SME business normalised by HEI income,0.8266816203654045,0.6200247405619115,0.5515119076373031,7.0
2017,University 0,0000,E,Working with business,2,False,,HE-BCI contract research income with SME business normalised by HEI income,0.5852664268411821,0.6200247405619115,0.5515119076373031,7.0
2017,University 0,0000,E,Working with business,2,False,,HE-BCI Consultancy and facilities income with non -SME business normalised by HEI income,0.9536048033723642,0.6200247405619115,0.5515119076373031,7.0
2017,University 0,0000,E,Working with business,2,False,,HE-BCI Consultancy and facilities income with SME business normalised by HEI income,0.6199205386413871,0.6200247405619115,0.5515119076373031,7.0
2017,University 0,0000,E,Working with the public and third sector,3,False,,HE-BCI contract research income with the public and third sector normalised by HEI income,0.7498719048261642,0.7024948513995847,0.5225328002802615,6.0
2017,University 0,0000,E,Working with the public and third sector,3,False,,HE-BCI Consultancy and facilities income with the public and third sector normalised by HEI income,0.6551177979730052,0.7024948513995847,0.5225328002802615,6.0
2017,University 0,0000,E,"Skills, enterprise and entrepreneurship",4,False,,HE-BCI CPD/CE income normalised by HEI income,0.6058566268237261,0.731196780730527,0.5800514914791512,9.0
2017,University 0,0000,E,"Skills, enterprise and entrepreneurship",4,False,,HE-BCI CPD/CE learner days delivered normalised by HEI income,0.683337767212133,0.731196780730527,0.5800514914791512,9.0
2017,University 0,0000,E,"Skills, enterprise and entrepreneurship",4,False,,HE-BCI Graduate start-ups rate by student FTE,0.9043959481557217,0.731196780730527,0.5800514914791512,9.0
2017,University 0,0000,E,Local growth and regeneration,5,True,"Remain soon consumer. Factor office drive suddenly. Food whole civil former land.
Arm item degree suffer guy memory modern. Much how interest writer. Crime less past national role.",Regeneration and development income from all sources normalised by HEI incomeAdditional narrative/contextual information - optional in year 1,0.28640417705511356,0.28640417705511356,0.4992564367610021,6.0
2017,University 0,0000,E,IP and Commercialisation,6,False,,Estimated current turnover of all active firms per active spinout,0.4711231772175594,0.32456407347528543,0.33803556914555943,1.0
2017,University 0,0000,E,IP and Commercialisation,6,False,,Average external investment per formal spinout,0.5025690432082969,0.32456407347528543,0.33803556914555943,1.0
2017,University 0,0000,E,IP and Commercialisation,6,False,,Licensing and other IP income as proportion of research income,0.0,0.32456407347528543,0.33803556914555943,1.0
2017,University 0,0000,E,Public and community engagement,7,True,"School wonder decade business enter shoulder. About high south personal candidate school.
You candidate enjoy subject be. Let certainly within animal result land. Trip international out level enough attention.",Self assessment based metric - optional in year 1,0.12463151201178527,0.12463151201178527,0.34149217684868055,2.0
2018,University 0,0000,E,Research Partnerships,1,False,,Contribution to collaborative research (Cash) as proportion of public funding,0.0,0.1792157572711772,0.3660431509990823,2.0
2018,University 0,0000,E,Research Partnerships,1,False,,Co-authorship with non-academic partners as a proportion of total outputs (data provider TBD),0.3584315145423544,0.1792157572711772,0.3660431509990823,2.0
2018,University 0,0000,E,Working with business,2,False,,Innovate UK income (KTP and grant) as proportion of research income (Innovate UK),0.06790148740417315,0.477545529133314,0.5515119076373031,7.0
2018,University 0,0000,E,Working with business,2,False,,HE-BCI contract research income with non-SME business normalised by HEI income,0.3325650749347595,0.477545529133314,0.5515119076373031,7.0
2018,University 0,0000,E,Working with business,2,False,,HE-BCI contract research income with SME business normalised by HEI income,0.5388264025123092,0.477545529133314,0.5515119076373031,7.0
2018,University 0,0000,E,Working with business,2,False,,HE-BCI Consultancy and facilities income with non -SME business normalised by HEI income,0.9037256280017195,0.477545529133314,0.5515119076373031,7.0
2018,University 0,0000,E,Working with business,2,False,,HE-BCI Consultancy and facilities income with SME business normalised by HEI income,0.5447090528136087,0.477545529133314,0.5515119076373031,7.0
2018,University 0,0000,E,Working with the public and third sector,3,False,,HE-BCI contract research income with the public and third sector normalised by HEI income,0.12688304769933587,0.2365905050839408,0.5225328002802615,6.0
2018,University 0,0000,E,Working with the public and third sector,3,False,,HE-BCI Consultancy and facilities income with the public and third sector normalised by HEI income,0.3462979624685458,0.2365905050839408,0.5225328002802615,6.0
2018,University 0,0000,E,"Skills, enterprise and entrepreneurship",4,False,,HE-BCI CPD/CE income normalised by HEI income,0.2941842231142509,0.43587398714748415,0.5800514914791512,9.0
2018,University 0,0000,E,"Skills, enterprise and entrepreneurship",4,False,,HE-BCI CPD/CE learner days delivered normalised by HEI income,0.8335370096051079,0.43587398714748415,0.5800514914791512,9.0
2018,University 0,0000,E,"Skills, enterprise and entrepreneurship",4,False,,HE-BCI Graduate start-ups rate by student FTE,0.1799007287230937,0.43587398714748415,0.5800514914791512,9.0
2018,University 0,0000,E,Local growth and regeneration,5,True,"Brother among no inside arm.
Lead mother economy. Future although director Mrs.
There me light phone huge amount movie. Well box performance between. Because treat room ground attack set.
Down include series provide low scene. Kind yourself thank cup team experience.",Regeneration and development income from all sources normalised by HEI incomeAdditional narrative/contextual information - optional in year 1,0.9332428942308855,0.9332428942308855,0.4992564367610021,6.0
2018,University 0,0000,E,IP and Commercialisation,6,False,,Estimated current turnover of all active firms per active spinout,0.07365619293483078,0.38340293993131747,0.33803556914555943,1.0
2018,University 0,0000,E,IP and Commercialisation,6,False,,Average external investment per formal spinout,0.38761845585857185,0.38340293993131747,0.33803556914555943,1.0
