Provider Name,LONGITUDE,LATITUDE
University 1,-5.070901,50.149168
University 2,-1.262868,51.757644
University 3,-2.786905,54.01048
University 4,-2.4374,51.378739
University 5,-3.179907,51.489093
University 6,-1.395675,50.93418
University 7,-0.133498,51.536862
University 8,-1.496677,52.938545
University 9,-1.897159,50.742968
University 10,-0.117099,51.517742
University 11,-3.926787,56.149207
University 12,-2.873372,53.559906
University 13,-0.587925,51.242568
University 14,0.945058,51.876569
University 15,-2.972271,53.399674
University 16,-0.947088,51.440564
University 17,-0.087049,50.864464
University 18,-0.411382,51.87787
University 19,1.070918,51.298491
University 20,-1.995022,52.434137
University 21,0.116642,52.205317
University 22,-1.139356,52.631833
University 23,-3.188111,55.948003
University 24,-1.552797,53.808494
University 25,-1.533291,53.813246
University 26,-5.9348,54.5839
University 27,-1.549143,53.803662
University 28,-3.28847,55.924071
University 29,-3.223617,51.483555
University 30,-2.974381,56.463143
University 31,-2.547491,51.500205
University 32,-0.116912,51.510734
University 33,-0.472835,51.532849
University 34,-0.176889,51.499281
University 35,-2.239504,53.470699
University 36,-0.535716,53.244036
University 37,0.005266,51.501478
University 38,-0.307824,51.406308
University 39,-2.128159,52.588308
University 40,-0.102296,51.527791
University 41,-0.122432,51.525085
University 42,-0.805496,51.215767
University 43,-5.9613,54.592
University 44,-2.143673,57.118078
University 45,-0.007171,51.483596
University 46,-4.230795,57.469675
University 47,-0.040505,51.523412
University 48,0.064797,51.507396
University 49,-0.035375,51.474144
University 50,-0.127819,51.520998
University 51,-1.234709,54.572089
University 52,-1.607512,54.976769
University 53,-2.182605,53.010097
University 54,-2.088781,51.887504
University 55,-1.897282,52.517286
University 56,-0.174179,51.544337
University 57,-4.288345,55.871746
University 58,-1.505713,52.408016
University 59,-1.093571,50.795266
University 60,-2.42538,52.780019
University 61,-1.531256,53.798246
University 62,-4.263391,55.865953
University 63,-4.043595,52.403488
University 64,-1.326928,51.060033
University 65,-4.138393,50.375186
University 66,1.241412,52.622394
University 67,-2.603292,51.459064
University 68,-2.793016,56.341205
University 69,-2.436236,53.573527
University 70,-3.073062,55.931304
University 71,-6.6725,55.1468
University 72,-1.561687,52.380079
University 73,,
University 74,-1.123802,52.621937
University 75,-1.905934,52.481855
University 76,-4.250553,55.866161
University 77,-0.143341,51.516794
University 78,-1.777712,53.64373
University 79,-1.994995,51.709495
University 80,-0.190884,51.499884
University 81,-3.183865,51.485645
University 82,0.106805,51.439004
University 83,-2.270665,53.483558
University 84,0.428134,51.737004
University 85,-0.116707,51.513968
University 86,-0.228415,51.589717
University 87,-0.709726,52.024924
University 88,-1.400157,50.907738
University 89,-0.752021,51.627518
University 90,-1.053553,53.948437
University 91,-0.549237,53.228855
University 92,-0.133401,51.524774
University 93,-0.119142,50.842448
University 94,-1.229467,52.764892
University 95,-3.00564,53.052979
University 96,-0.130661,51.520927
University 97,-2.891936,53.391491
University 98,-0.24215,51.752882
University 99,-1.488709,53.381409
University 100,-1.571868,54.768149
University 101,-1.152002,52.956383
University 102,-4.244586,55.861363
University 103,-0.774409,50.844268
University 104,-3.320697,55.909398
University 105,-0.161353,51.526583
University 106,-1.930855,52.448986
University 107,-2.921482,54.891124
University 108,-3.53437,50.735199
University 109,-1.465255,53.379212
University 110,-2.97848,56.4572
University 111,-3.176533,55.921607
University 112,-0.245983,51.455119
University 113,-1.391361,54.904502
University 114,0.474311,51.741266
University 115,-0.128481,51.523473
University 116,-3.980649,51.609622
University 117,-0.567199,51.425323
University 118,-0.178449,51.501355
University 119,-0.628735,52.073929
University 120,-2.274598,53.003969
University 121,-1.6481,53.848573
University 122,-0.116912,51.510734
University 123,-0.173355,51.427985
University 124,1.2966,52.630313
University 125,-1.55178,53.808463
University 126,-1.890947,52.486651
University 127,-2.898063,53.198657
University 128,-2.099129,57.165003
University 129,-2.233222,53.467943
University 130,-4.257632,55.86614
University 131,-1.186477,52.941271
University 132,-5.9352,54.5733
University 133,-1.615727,54.980327
University 134,-4.129505,53.229236
University 135,-4.110286,50.421023
University 136,-0.99182,51.996018
University 137,-0.367171,53.769661
University 138,-3.325787,51.588739
University 139,-0.151727,51.523617
University 140,-0.11021,51.551822
University 141,-0.335292,51.437438
University 142,1.085663,51.275761
University 143,-0.12909,51.526207
University 144,-0.127819,51.520998
University 145,-2.975554,53.406416
University 146,-0.181668,51.490713
University 147,-0.003891,51.484493
University 148,-1.08029,53.965263
University 149,-4.328723,51.858379
University 150,-3.949446,51.624658
University 151,-0.092406,51.519502
University 152,-1.762133,53.791716
University 153,-0.10163,51.49841
University 154,1.162554,52.052585
University 155,-4.428479,55.843669
University 156,-2.973176,53.403702
University 157,-2.330671,51.380438
University 158,-1.8977,50.741781
University 159,-0.30339,51.50661
University 160,-1.223181,51.754386
University 161,-0.129233,51.522352
University 162,-2.236946,53.468583
University 163,-2.707381,53.761354
University 164,-0.178194,51.500506
University 165,-3.181039,51.485538
University 166,-2.243038,52.197568
